,algo,init_type,eval_count,parameters,energy,std,optimizer_name
0,1,,1,"{'gammas': array([-4.18534145]), 'betas': array([-3.36447054])}",0.07571169953983563,0.0,NELDER_MEAD
1,1,,2,"{'gammas': array([-4.18534145]), 'betas': array([-3.53269406])}",0.024635805219557827,0.0,NELDER_MEAD
2,1,,3,"{'gammas': array([-4.39460852]), 'betas': array([-3.36447054])}",-0.026560482644786117,0.0,NELDER_MEAD
3,1,,4,"{'gammas': array([-4.39460852]), 'betas': array([-3.53269406])}",-0.09123079836398208,0.0,NELDER_MEAD
4,1,,5,"{'gammas': array([-4.49924206]), 'betas': array([-3.61680583])}",-0.16930996997514888,0.0,NELDER_MEAD
5,1,,6,"{'gammas': array([-4.70850913]), 'betas': array([-3.4485823])}",-0.23308871150265922,0.0,NELDER_MEAD
6,1,,7,"{'gammas': array([-4.97009297]), 'betas': array([-3.40652642])}",-0.40051769133130377,0.0,NELDER_MEAD
7,1,,8,"{'gammas': array([-5.07472651]), 'betas': array([-3.65886171])}",-0.2714906215627455,0.0,NELDER_MEAD
8,1,,9,"{'gammas': array([-5.54557742]), 'betas': array([-3.4485823])}",-0.8898501475541151,0.0,NELDER_MEAD
9,1,,10,"{'gammas': array([-6.0687451]), 'betas': array([-3.36447054])}",-0.4520443875978225,0.0,NELDER_MEAD
10,1,,11,"{'gammas': array([-5.44094389]), 'betas': array([-3.19624701])}",-0.24045043502700686,0.0,NELDER_MEAD
11,1,,12,"{'gammas': array([-5.16628085]), 'betas': array([-3.54320803])}",-0.5245118847927386,0.0,NELDER_MEAD
12,1,,13,"{'gammas': array([-5.7417653]), 'betas': array([-3.58526392])}",-0.799663443293289,0.0,NELDER_MEAD
13,1,,14,"{'gammas': array([-6.12106187]), 'betas': array([-3.49063818])}",-0.43406378028830817,0.0,NELDER_MEAD
14,1,,15,"{'gammas': array([-5.40497611]), 'betas': array([-3.53006557])}",-0.7389507875488015,0.0,NELDER_MEAD
15,1,,16,"{'gammas': array([-5.88236662]), 'betas': array([-3.50378065])}",-0.8315142272987284,0.0,NELDER_MEAD
16,1,,17,"{'gammas': array([-5.68617874]), 'betas': array([-3.36709903])}",-0.826103546574714,0.0,NELDER_MEAD
17,1,,18,"{'gammas': array([-5.70007538]), 'betas': array([-3.42164025])}",-0.9041849319394706,0.0,NELDER_MEAD
18,1,,19,"{'gammas': array([-5.36328618]), 'betas': array([-3.36644191])}",-0.7001987546238018,0.0,NELDER_MEAD
19,1,,20,"{'gammas': array([-5.75259651]), 'betas': array([-3.46944596])}",-0.9168605609480596,0.0,NELDER_MEAD
20,1,,21,"{'gammas': array([-5.90709446]), 'betas': array([-3.44250391])}",-0.7903982512582858,0.0,NELDER_MEAD
21,1,,22,"{'gammas': array([-5.63595668]), 'betas': array([-3.4470627])}",-0.9195353537699332,0.0,NELDER_MEAD
22,1,,23,"{'gammas': array([-5.68847781]), 'betas': array([-3.49486841])}",-0.92027330344578,0.0,NELDER_MEAD
23,1,,24,"{'gammas': array([-5.68267903]), 'betas': array([-3.53148249])}",-0.8868786066092266,0.0,NELDER_MEAD
24,1,,25,"{'gammas': array([-5.57183799]), 'betas': array([-3.47248515])}",-0.9010327202640802,0.0,NELDER_MEAD
25,1,,26,"{'gammas': array([-5.70740688]), 'betas': array([-3.47020576])}",-0.9262154469484154,0.0,NELDER_MEAD
26,1,,27,"{'gammas': array([-5.75992801]), 'betas': array([-3.51801147])}",-0.8967046904355509,0.0,NELDER_MEAD
27,1,,28,"{'gammas': array([-5.66694951]), 'betas': array([-3.46479989])}",-0.9266649478020177,0.0,NELDER_MEAD
28,1,,29,"{'gammas': array([-5.68587858]), 'betas': array([-3.44013724])}",-0.9194617417462227,0.0,NELDER_MEAD
29,1,,30,"{'gammas': array([-5.687828]), 'betas': array([-3.48118562])}",-0.9256592198632125,0.0,NELDER_MEAD
30,1,,31,"{'gammas': array([-5.68652839]), 'betas': array([-3.45382003])}",-0.9252561074033409,0.0,NELDER_MEAD
31,1,,32,"{'gammas': array([-5.6875031]), 'betas': array([-3.47434422])}",-0.9269571137915773,0.0,NELDER_MEAD
32,1,,33,"{'gammas': array([-5.64704574]), 'betas': array([-3.46893836])}",-0.9242958316691678,0.0,NELDER_MEAD
33,1,,34,"{'gammas': array([-5.69231659]), 'betas': array([-3.46988891])}",-0.9271999274515575,0.0,NELDER_MEAD
34,1,,35,"{'gammas': array([-5.71287018]), 'betas': array([-3.47943324])}",-0.9248065107002026,0.0,NELDER_MEAD
35,1,,36,"{'gammas': array([-5.67842968]), 'betas': array([-3.46845823])}",-0.9272570345300185,0.0,NELDER_MEAD
36,1,,37,"{'gammas': array([-5.68324317]), 'betas': array([-3.46400292])}",-0.9271845197984236,0.0,NELDER_MEAD
37,1,,38,"{'gammas': array([-5.68430815]), 'betas': array([-3.46658824])}",-0.9273228331706236,0.0,NELDER_MEAD
38,1,,39,"{'gammas': array([-5.67042124]), 'betas': array([-3.46515756])}",-0.9268966263837695,0.0,NELDER_MEAD
39,1,,40,"{'gammas': array([-5.68684276]), 'betas': array([-3.46870607])}",-0.9273300598212859,0.0,NELDER_MEAD
40,1,,41,"{'gammas': array([-5.69272123]), 'betas': array([-3.46683609])}",-0.9271645733493029,0.0,NELDER_MEAD
41,1,,42,"{'gammas': array([-5.68200257]), 'betas': array([-3.46805269])}",-0.9273298450807925,0.0,NELDER_MEAD
42,1,,43,"{'gammas': array([-5.68453717]), 'betas': array([-3.47017052])}",-0.9272983253135125,0.0,NELDER_MEAD
43,1,,44,"{'gammas': array([-5.68436541]), 'betas': array([-3.46748381])}",-0.9273406571833832,0.0,NELDER_MEAD
44,1,,45,"{'gammas': array([-5.6892056]), 'betas': array([-3.46813719])}",-0.9272961764534815,0.0,NELDER_MEAD
45,1,,46,"{'gammas': array([-5.68380332]), 'betas': array([-3.46807382])}",-0.9273425514483986,0.0,NELDER_MEAD
46,1,,47,"{'gammas': array([-5.68132598]), 'betas': array([-3.46685156])}",-0.9273134790173254,0.0,NELDER_MEAD
47,1,,48,"{'gammas': array([-5.68546356]), 'betas': array([-3.46824244])}",-0.9273416868793642,0.0,NELDER_MEAD
